Date,Hour,Waterlevel
01/01/2008,1,130
01/01/2008,4,121
01/01/2008,7,112
01/01/2008,10,113.5
01/01/2008,13,115
01/01/2008,16,118.5
01/01/2008,19,122
01/01/2008,22,120
01/02/2008,1,118
01/02/2008,4,117
01/02/2008,7,116
01/02/2008,10,116
01/02/2008,13,116
01/02/2008,16,116
01/02/2008,19,116
01/02/2008,22,117
01/03/2008,1,118
01/03/2008,4,126.5
01/03/2008,7,135
01/03/2008,10,142.5
01/03/2008,13,150
01/03/2008,16,152
01/03/2008,19,154
01/03/2008,22,150
01/04/2008,1,146
01/04/2008,4,156
01/04/2008,7,166
01/04/2008,10,172
01/04/2008,13,178
01/04/2008,16,175
01/04/2008,19,172
01/04/2008,22,168
01/05/2008,1,164
01/05/2008,4,167
01/05/2008,7,170
01/05/2008,10,180
01/05/2008,13,190
01/05/2008,16,190
01/05/2008,19,190
01/05/2008,22,185
01/06/2008,1,180
01/06/2008,4,183
01/06/2008,7,186
01/06/2008,10,201
01/06/2008,13,216
01/06/2008,16,214
01/06/2008,19,212
01/06/2008,22,206
01/07/2008,1,200
01/07/2008,4,193
01/07/2008,7,186
01/07/2008,10,189.5
01/07/2008,13,193
01/07/2008,16,187.5
01/07/2008,19,182
01/07/2008,22,171
01/08/2008,1,160
01/08/2008,4,158
01/08/2008,7,156
01/08/2008,10,175
01/08/2008,13,194
01/08/2008,16,198
01/08/2008,19,202
01/08/2008,22,196
01/09/2008,1,190
01/09/2008,4,188
01/09/2008,7,186
01/09/2008,10,198
01/09/2008,13,210
01/09/2008,16,212
01/09/2008,19,214
01/09/2008,22,210
01/10/2008,1,206
01/10/2008,4,201
01/10/2008,7,196
01/10/2008,10,208.5
01/10/2008,13,221
01/10/2008,16,222
01/10/2008,19,223
01/10/2008,22,214.5
01/11/2008,1,206
01/11/2008,4,199
01/11/2008,7,192
01/11/2008,10,196
01/11/2008,13,200
01/11/2008,16,206
01/11/2008,19,212
01/11/2008,22,201
01/12/2008,1,190
01/12/2008,4,182
01/12/2008,7,174
01/12/2008,10,184
01/12/2008,13,194
01/12/2008,16,199
01/12/2008,19,204
01/12/2008,22,198
01/13/2008,1,192
01/13/2008,4,185
01/13/2008,7,178
01/13/2008,10,181.5
01/13/2008,13,185
01/13/2008,16,194
01/13/2008,19,203
01/13/2008,22,194.5
01/14/2008,1,186
01/14/2008,4,175
01/14/2008,7,164
01/14/2008,10,160
01/14/2008,13,156
01/14/2008,16,160
01/14/2008,19,164
01/14/2008,22,159
01/15/2008,1,154
01/15/2008,4,145
01/15/2008,7,136
01/15/2008,10,145
01/15/2008,13,154
01/15/2008,16,160
01/15/2008,19,166
01/15/2008,22,162
01/16/2008,1,158
01/16/2008,4,155
01/16/2008,7,154
01/16/2008,10,154
01/16/2008,13,162
01/16/2008,16,165
01/16/2008,19,167
01/16/2008,22,166
01/17/2008,1,166
01/17/2008,4,166
01/17/2008,7,166
01/17/2008,10,166
01/17/2008,13,166
01/17/2008,16,169
01/17/2008,19,170
01/17/2008,22,162
01/18/2008,1,160
01/18/2008,4,167
01/18/2008,7,180
01/18/2008,10,187.5
01/18/2008,13,193
01/18/2008,16,197
01/18/2008,19,199
01/18/2008,22,202.5
01/19/2008,1,209
01/19/2008,4,218
01/19/2008,7,229
01/19/2008,10,240.5
01/19/2008,13,246
01/19/2008,16,246
01/19/2008,19,242
01/19/2008,22,238
01/20/2008,1,236
01/20/2008,4,238
01/20/2008,7,250
01/20/2008,10,265
01/20/2008,13,272
01/20/2008,16,271.5
01/20/2008,19,267
01/20/2008,22,263
01/21/2008,1,262
01/21/2008,4,262
01/21/2008,7,262
01/21/2008,10,277
01/21/2008,13,282
01/21/2008,16,280
01/21/2008,19,276
01/21/2008,22,268
01/22/2008,1,260
01/22/2008,4,256
01/22/2008,7,256
01/22/2008,10,264
01/22/2008,13,272
01/22/2008,16,271
01/22/2008,19,266
01/22/2008,22,254
01/23/2008,1,244
01/23/2008,4,238
01/23/2008,7,238
01/23/2008,10,245.5
01/23/2008,13,254
01/23/2008,16,259
01/23/2008,19,256
01/23/2008,22,249
01/24/2008,1,238
01/24/2008,4,233
01/24/2008,7,230
01/24/2008,10,235.5
01/24/2008,13,246
01/24/2008,16,248.5
01/24/2008,19,244
01/24/2008,22,234
01/25/2008,1,226
01/25/2008,4,220
01/25/2008,7,212
01/25/2008,10,213
01/25/2008,13,223
01/25/2008,16,231
01/25/2008,19,229
01/25/2008,22,220
01/26/2008,1,216
01/26/2008,4,213
01/26/2008,7,211
01/26/2008,10,214.5
01/26/2008,13,226
01/26/2008,16,235
01/26/2008,19,237
01/26/2008,22,237
01/27/2008,1,237
01/27/2008,4,237
01/27/2008,7,236
01/27/2008,10,238.5
01/27/2008,13,245
01/27/2008,16,247
01/27/2008,19,247
01/27/2008,22,243.5
01/28/2008,1,238
01/28/2008,4,230.5
01/28/2008,7,225
01/28/2008,10,220.5
01/28/2008,13,214
01/28/2008,16,211
01/28/2008,19,206
01/28/2008,22,198
01/29/2008,1,184
01/29/2008,4,176
01/29/2008,7,171
01/29/2008,10,163
01/29/2008,13,162
01/29/2008,16,159
01/29/2008,19,156
01/29/2008,22,152
01/30/2008,1,146
01/30/2008,4,141
01/30/2008,7,138
01/30/2008,10,136
01/30/2008,13,136
01/30/2008,16,136
01/30/2008,19,136
01/30/2008,22,133
01/31/2008,1,132
01/31/2008,4,133
01/31/2008,7,136
01/31/2008,10,144
01/31/2008,13,142
01/31/2008,16,156
01/31/2008,19,162
01/31/2008,22,165
02/01/2008,1,166
02/01/2008,4,169
02/01/2008,7,174
02/01/2008,10,177
02/01/2008,13,181
02/01/2008,16,182
02/01/2008,19,184
02/01/2008,22,186.5
02/02/2008,1,192
02/02/2008,4,198
02/02/2008,7,203
02/02/2008,10,210.5
02/02/2008,13,214
02/02/2008,16,214
02/02/2008,19,214
02/02/2008,22,214
02/03/2008,1,214
02/03/2008,4,218
02/03/2008,7,225
02/03/2008,10,231.5
02/03/2008,13,238
02/03/2008,16,241
02/03/2008,19,242
02/03/2008,22,242
02/04/2008,1,244
02/04/2008,4,250
02/04/2008,7,256
02/04/2008,10,269
02/04/2008,13,278
02/04/2008,16,280
02/04/2008,19,278
02/04/2008,22,275
02/05/2008,1,272
02/05/2008,4,269
02/05/2008,7,268
02/05/2008,10,277
02/05/2008,13,278
02/05/2008,16,276
02/05/2008,19,268
02/05/2008,22,254
02/06/2008,1,242
02/06/2008,4,233
02/06/2008,7,228
02/06/2008,10,231.5
02/06/2008,13,235
02/06/2008,16,235
02/06/2008,19,226
02/06/2008,22,219.5
02/07/2008,1,206
02/07/2008,4,197
02/07/2008,7,190
02/07/2008,10,202.5
02/07/2008,13,212
02/07/2008,16,213
02/07/2008,19,206
02/07/2008,22,201
02/08/2008,1,196
02/08/2008,4,187
02/08/2008,7,180
02/08/2008,10,185
02/08/2008,13,198
02/08/2008,16,192
02/08/2008,19,182
02/08/2008,22,170
02/09/2008,1,156
02/09/2008,4,145
02/09/2008,7,138
02/09/2008,10,144
02/09/2008,13,162
02/09/2008,16,162
02/09/2008,19,158
02/09/2008,22,147
02/10/2008,1,138
02/10/2008,4,129
02/10/2008,7,120
02/10/2008,10,126
02/10/2008,13,144
02/10/2008,16,146
02/10/2008,19,146
02/10/2008,22,135
02/11/2008,1,128
02/11/2008,4,122
02/11/2008,7,118
02/11/2008,10,105
02/11/2008,13,112
02/11/2008,16,121
02/11/2008,19,118
02/11/2008,22,113
02/12/2008,1,107
02/12/2008,4,95
02/12/2008,7,86
