Date,Hour,Waterlevel
01/01/2008,0,47
01/01/2008,1,43
01/01/2008,2,40
01/01/2008,3,37
01/01/2008,4,34
01/01/2008,5,33
01/01/2008,6,33
01/01/2008,7,35
01/01/2008,8,41
01/01/2008,9,50
01/01/2008,10,56
01/01/2008,11,58
01/01/2008,12,58
01/01/2008,13,57
01/01/2008,14,54
01/01/2008,15,50
01/01/2008,16,47
01/01/2008,17,45
01/01/2008,18,43
01/01/2008,19,41
01/01/2008,20,39
01/01/2008,21,39
01/01/2008,22,39
01/01/2008,23,40
01/02/2008,0,42
01/02/2008,1,44
01/02/2008,2,46
01/02/2008,3,50
01/02/2008,4,53
01/02/2008,5,55
01/02/2008,6,56
01/02/2008,7,57
01/02/2008,8,57
01/02/2008,9,57
01/02/2008,10,57
01/02/2008,11,56
01/02/2008,12,54
01/02/2008,13,51
01/02/2008,14,47
01/02/2008,15,43
01/02/2008,16,39
01/02/2008,17,35
01/02/2008,18,31
01/02/2008,19,28
01/02/2008,20,26
01/02/2008,21,25
01/02/2008,22,30
01/02/2008,23,42
01/03/2008,0,54
01/03/2008,1,66
01/03/2008,2,78
01/03/2008,3,89
01/03/2008,4,96
01/03/2008,5,99
01/03/2008,6,97
01/03/2008,7,93
01/03/2008,8,89
01/03/2008,9,85
01/03/2008,10,81
01/03/2008,11,77
01/03/2008,12,73
01/03/2008,13,68
01/03/2008,14,63
01/03/2008,15,58
01/03/2008,16,53
01/03/2008,17,49
01/03/2008,18,45
01/03/2008,19,41
01/03/2008,20,38
01/03/2008,21,35
01/03/2008,22,35
01/03/2008,23,42
01/04/2008,0,56
01/04/2008,1,70
01/04/2008,2,85
01/04/2008,3,96
01/04/2008,4,105
01/04/2008,5,114
01/04/2008,6,118
01/04/2008,7,120
01/04/2008,8,117
01/04/2008,9,115
01/04/2008,10,108
01/04/2008,11,101
01/04/2008,12,95
01/04/2008,13,90
01/04/2008,14,86
01/04/2008,15,78
01/04/2008,16,72
01/04/2008,17,67
01/04/2008,18,63
01/04/2008,19,59
01/04/2008,20,55
01/04/2008,21,51
01/04/2008,22,47
01/04/2008,23,46
01/05/2008,0,53
01/05/2008,1,60
01/05/2008,2,73
01/05/2008,3,87
01/05/2008,4,99
01/05/2008,5,109
01/05/2008,6,118
01/05/2008,7,124
01/05/2008,8,123
01/05/2008,9,118
01/05/2008,10,114
01/05/2008,11,110
01/05/2008,12,104
01/05/2008,13,97
01/05/2008,14,92
01/05/2008,15,87
01/05/2008,16,81
01/05/2008,17,75
01/05/2008,18,71
01/05/2008,19,67
01/05/2008,20,62
01/05/2008,21,58
01/05/2008,22,54
01/05/2008,23,51
01/06/2008,0,52
01/06/2008,1,53
01/06/2008,2,65
01/06/2008,3,80
01/06/2008,4,95
01/06/2008,5,107
01/06/2008,6,118
01/06/2008,7,126
01/06/2008,8,130
01/06/2008,9,129
01/06/2008,10,124
01/06/2008,11,119
01/06/2008,12,114
01/06/2008,13,110
