Date,Hour,Waterlevel
01/01/2008,1,937
01/01/2008,4,933.5
01/01/2008,7,930
01/01/2008,10,926.5
01/01/2008,13,923
01/01/2008,16,921
01/01/2008,19,919
01/01/2008,22,930.5
01/02/2008,1,942
01/02/2008,4,940
01/02/2008,7,938
01/02/2008,10,932.5
01/02/2008,13,927
01/02/2008,16,939
01/02/2008,19,951
01/02/2008,22,962
01/03/2008,1,973
01/03/2008,4,971
01/03/2008,7,968
01/03/2008,10,957
01/03/2008,13,948
01/03/2008,16,937
01/03/2008,19,923
01/03/2008,22,938
01/04/2008,1,955
01/04/2008,4,959
01/04/2008,7,943
01/04/2008,10,933
01/04/2008,13,924
01/04/2008,16,919
01/04/2008,19,916
01/04/2008,22,943
01/05/2008,1,970
01/05/2008,4,971.5
01/05/2008,7,957
01/05/2008,10,947
01/05/2008,13,930
01/05/2008,16,920.5
01/05/2008,19,920
01/05/2008,22,943
01/06/2008,1,966
01/06/2008,4,971
01/06/2008,7,954
01/06/2008,10,937
01/06/2008,13,922
01/06/2008,16,919
01/06/2008,19,916
01/06/2008,22,920
01/07/2008,1,932
01/07/2008,4,929.5
01/07/2008,7,927
01/07/2008,10,922.5
01/07/2008,13,918
01/07/2008,16,919.5
01/07/2008,19,921
01/07/2008,22,941.5
01/08/2008,1,964
01/08/2008,4,973
01/08/2008,7,958
01/08/2008,10,939
01/08/2008,13,923
01/08/2008,16,918
01/08/2008,19,920
01/08/2008,22,924
01/09/2008,1,941
01/09/2008,4,949
01/09/2008,7,936
01/09/2008,10,921
01/09/2008,13,918
01/09/2008,16,917
01/09/2008,19,919
01/09/2008,22,925
01/10/2008,1,943
01/10/2008,4,951
01/10/2008,7,938
01/10/2008,10,922
01/10/2008,13,921
01/10/2008,16,918
01/10/2008,19,920
01/10/2008,22,924
01/11/2008,1,932
01/11/2008,4,940
01/11/2008,7,936
01/11/2008,10,929
01/11/2008,13,925
01/11/2008,16,921
01/11/2008,19,917
01/11/2008,22,926
01/12/2008,1,938
01/12/2008,4,959
01/12/2008,7,953
01/12/2008,10,946
01/12/2008,13,939
01/12/2008,16,931
01/12/2008,19,924
01/12/2008,22,929
01/13/2008,1,946
01/13/2008,4,965
01/13/2008,7,944
01/13/2008,10,937
01/13/2008,13,930
01/13/2008,16,923
01/13/2008,19,916
01/13/2008,22,925
01/14/2008,1,932
01/14/2008,4,936
01/14/2008,7,929
01/14/2008,10,925
01/14/2008,13,920
01/14/2008,16,926
01/14/2008,19,930
01/14/2008,22,932
01/15/2008,1,936
01/15/2008,4,954
01/15/2008,7,945
01/15/2008,10,937
01/15/2008,13,925
01/15/2008,16,929
01/15/2008,19,932
01/15/2008,22,935
01/16/2008,1,951
01/16/2008,4,969
01/16/2008,7,962
