Name Author,About,Genres,Url author,Images Url,BirthDate,DeathDate,avgRating,reviewsCount,RatingsCount,Influences
A.  Kirk,"We are A &amp; E Kirk, the Best Selling Mother/Daughter writing duo of YA Paranormal Urban Fantasy Romance Thrillers loaded with action, adventure, twists and turns, and huge doses of humor. We write about dangerous supernatural creatures, hot guys, and sassy heroines full of snark.Our Divinicus Nex Series has topped the Amazon charts, and Midnight Poison, the first book in our new Paranormal Poisons is already a bestseller! We love to read, watch TV and movies, and eat - not necessarily in that order - and also connect with our fans. Come visit, we'd love to hear from you!Website: www.aekirk.comAmazon Author Page: www.amazon.com/A-E-Kirk/e/B0077BB1AS/...Facebook: www.facebook.com/AandEKirk Pinterest: www.pinterest.com/AandEKirk/Pinterest: www. We are A &amp; E Kirk, the Best Selling Mother/Daughter writing duo of YA Paranormal Urban Fantasy Romance Thrillers loaded with action, adventure, twists and turns, and huge doses of humor. We write about dangerous supernatural creatures, hot guys, and sassy heroines full of snark.Our Divinicus Nex Series has topped the Amazon charts, and Midnight Poison, the first book in our new Paranormal Poisons is already a bestseller! We love to read, watch TV and movies, and eat - not necessarily in that order - and also connect with our fans. Come visit, we'd love to hear from you!Website: www.aekirk.comAmazon Author Page: www.amazon.com/A-E-Kirk/e/B0077BB1AS/...Facebook: www.facebook.com/AandEKirk Pinterest: www.pinterest.com/AandEKirk/Pinterest: www.pinterest.com/alyssamkirk/ Twitter: www.twitter.com/eileenmkirkTwitter: www.twitter.com/alyssakirkYoutube: www.youtube.com/channel/UCOei7-coe8o9... ...more","Paranormal, Young Adult, Thriller",https://www.goodreads.com/author/show/5393357.A_Kirk,https://images.gr-assets.com/authors/1405228534p5/5393357.jpg,,,4.18,1661,17698,
A. Meredith Walters,"The New York Times and USA Today bestselling author of Contemporary and New Adult romances including the Bad Rep, Find You in the Dark, Reclaiming the Sand, and Twisted Love series.Follow her on-Facebook: http://on.fb.me/1CkvffQTwitter: @AuthorAMWaltersInstagram: a.meredith.walters The New York Times and USA Today bestselling author of Contemporary and New Adult romances including the Bad Rep, Find You in the Dark, Reclaiming the Sand, and Twisted Love series.Follow her on-Facebook: http://on.fb.me/1CkvffQTwitter: @AuthorAMWaltersInstagram: a.meredith.walters ...more","Chick Lit, Young Adult, Romance",https://www.goodreads.com/author/show/5416410.A_Meredith_Walters,https://images.gr-assets.com/authors/1354893270p5/5416410.jpg,,,3.98,8780,101097,
A.A. Milne,"Alan Alexander Milne (pronounced /ˈmɪln/) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various children's poems. A. A. Milne was born in Kilburn, London, to parents Vince Milne and Sarah Marie Milne (née Heginbotham) and grew up at Henley House School, 6/7 Mortimer Road (now Crescent), Kilburn, a small public school run by his father. One of his teachers was H. G. Wells who taught there in 1889–90. Milne attended Westminster School and Trinity College, Cambridge, where he studied on a mathematics scholarship. While there, he edited and wrote for Granta, a student magazine. He collaborated with his brother Kenneth and their articles appeared over the initials AKM. Milne's work came to the atten Alan Alexander Milne (pronounced /ˈmɪln/) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various children's poems. A. A. Milne was born in Kilburn, London, to parents Vince Milne and Sarah Marie Milne (née Heginbotham) and grew up at Henley House School, 6/7 Mortimer Road (now Crescent), Kilburn, a small public school run by his father. One of his teachers was H. G. Wells who taught there in 1889–90. Milne attended Westminster School and Trinity College, Cambridge, where he studied on a mathematics scholarship. While there, he edited and wrote for Granta, a student magazine. He collaborated with his brother Kenneth and their articles appeared over the initials AKM. Milne's work came to the attention of the leading British humour magazine Punch, where Milne was to become a contributor and later an assistant editor. Milne joined the British Army in World War I and served as an officer in the Royal Warwickshire Regiment and later, after a debilitating illness, the Royal Corps of Signals. He was discharged on February 14, 1919. After the war, he wrote a denunciation of war titled Peace with Honour (1934), which he retracted somewhat with 1940's War with Honour. During World War II, Milne was one of the most prominent critics of English writer P. G. Wodehouse, who was captured at his country home in France by the Nazis and imprisoned for a year. Wodehouse made radio broadcasts about his internment, which were broadcast from Berlin. Although the light-hearted broadcasts made fun of the Germans, Milne accused Wodehouse of committing an act of near treason by cooperating with his country's enemy. Wodehouse got some revenge on his former friend by creating fatuous parodies of the Christopher Robin poems in some of his later stories, and claiming that Milne ""was probably jealous of all other writers.... But I loved his stuff."" He married Dorothy ""Daphne"" de Sélincourt in 1913, and their only son, Christopher Robin Milne, was born in 1920. In 1925, A. A. Milne bought a country home, Cotchford Farm, in Hartfield, East Sussex. During World War II, A. A. Milne was Captain of the Home Guard in Hartfield &amp; Forest Row, insisting on being plain 'Mr. Milne' to the members of his platoon. He retired to the farm after a stroke and brain surgery in 1952 left him an invalid and by August 1953 ""he seemed very old and disenchanted"".He was 74 years old when he passed away in 1956. ...more","Literature & Fiction, Children's Books, Poetry",https://www.goodreads.com/author/show/81466.A_A_Milne,https://images.gr-assets.com/authors/1204664899p5/81466.jpg,1882-01-18 00:00:00,31/01/1956 0:00,4.35,17230,595564,
A.C. Benson,"Arthur Christopher Benson was an English essayist, poet, author and academic and the 28th Master of Magdalene College, Cambridge.Benson was born on 24 April 1862 at Wellington College, Berkshire. He was one of six children of Edward White Benson (1829-1896; Archbishop of Canterbury 1882–96; the first headmaster of the college) and his wife Mary Sidgwick Benson, sister of the philosopher Henry Sidgwick.Benson was born into a literary family; his brothers included E.F. Benson, best remembered for his Mapp and Lucia novels, and Robert Hugh Benson, a priest of the Church of England before converting to Roman Catholicism, who wrote many popular novels. Their sister, Margaret Benson, was an artist, author, and amateur Egyptologist. Arthur Christopher Benson was an English essayist, poet, author and academic and the 28th Master of Magdalene College, Cambridge.Benson was born on 24 April 1862 at Wellington College, Berkshire. He was one of six children of Edward White Benson (1829-1896; Archbishop of Canterbury 1882–96; the first headmaster of the college) and his wife Mary Sidgwick Benson, sister of the philosopher Henry Sidgwick.Benson was born into a literary family; his brothers included E.F. Benson, best remembered for his Mapp and Lucia novels, and Robert Hugh Benson, a priest of the Church of England before converting to Roman Catholicism, who wrote many popular novels. Their sister, Margaret Benson, was an artist, author, and amateur Egyptologist. ...more",Memoir,https://www.goodreads.com/author/show/6345253.A_C_Benson,https://images.gr-assets.com/authors/1487862486p5/6345253.jpg,1862-04-24 00:00:00,17/06/1925 0:00,3.72,155,1123,
A.C. Gaughen,"I am shamelessly addicted to staying up far too late (it feels like stealing time), diet coke (it burns so good), Scotland (stupid country stole my heart and won't give it back. Interpol has been ineffective for prosecution) and thieves (so I guess I'm not that mad at Scotland). Want to know more? Just ask! I am shamelessly addicted to staying up far too late (it feels like stealing time), diet coke (it burns so good), Scotland (stupid country stole my heart and won't give it back. Interpol has been ineffective for prosecution) and thieves (so I guess I'm not that mad at Scotland). Want to know more? Just ask! ...more",,https://www.goodreads.com/author/show/4573275.A_C_Gaughen,https://images.gr-assets.com/authors/1504661187p5/4573275.jpg,07/11/1984 0:00,,3.94,5483,43683,
A.D. Zoltan,,,https://www.goodreads.com/author/show/18758732.A_D_Zoltan,,,,4.33,5,72,
A.E. Coppard,"Alfred Edgar Coppard was an English writer, noted for his influence on the short story form, and poet.See http://en.wikipedia.org/wiki/A._E._Co... Alfred Edgar Coppard was an English writer, noted for his influence on the short story form, and poet.See http://en.wikipedia.org/wiki/A._E._Co... ...more",Short Stories,https://www.goodreads.com/author/show/565809.A_E_Coppard,https://images.gr-assets.com/authors/1508835739p5/565809.jpg,1878-01-04 00:00:00,13/01/1957 0:00,4.02,353,4478,
A.F. Knott,"A.F. Knott was born in New York City. He has worked as a surveyor in the Offshore Oil Industry, a lunch deliverer, a paper broker, a thoroughbred handicapper, a cyclotron engineer and a physician before starting a publishing company. He is completing an oral history of the New York theater and writing pulp and dystopian novels as J. Jupes. Visit him at www.afknott.com and www.hekatepublishing.com. A.F. Knott was born in New York City. He has worked as a surveyor in the Offshore Oil Industry, a lunch deliverer, a paper broker, a thoroughbred handicapper, a cyclotron engineer and a physician before starting a publishing company. He is completing an oral history of the New York theater and writing pulp and dystopian novels as J. Jupes. Visit him at www.afknott.com and www.hekatepublishing.com. ...more","Thriller, Fiction, Humor and Comedy",https://www.goodreads.com/author/show/14855049.A_F_Knott,https://images.gr-assets.com/authors/1480718893p5/14855049.jpg,,,4.44,26,283,
A.G. Howard,"#1 New York Times and International bestselling Author of gothic / fantasy &amp; paranormal tales, mystical &amp; romantic with a side of horror. A.G.'s dark Alice in Wonderland inspired Splintered series has been published in over a dozen languages. Young adult, Adult, and literary romance. Repped by Jenny Bent.How A.G. Howard rates books on GoodReads:""I only rate or review books I enjoyed reading, and won't give any rating below 4 stars. Please don't consider every high rating a personal endorsement / recommendation from me. My ratings here are subjective to me as an individual. I don't rate books solely on style. Every writer's voice is individual and unique; I've come to respect this truth during my own personal journey. As long as a story take #1 New York Times and International bestselling Author of gothic / fantasy &amp; paranormal tales, mystical &amp; romantic with a side of horror. A.G.'s dark Alice in Wonderland inspired Splintered series has been published in over a dozen languages. Young adult, Adult, and literary romance. Repped by Jenny Bent.How A.G. Howard rates books on GoodReads:""I only rate or review books I enjoyed reading, and won't give any rating below 4 stars. Please don't consider every high rating a personal endorsement / recommendation from me. My ratings here are subjective to me as an individual. I don't rate books solely on style. Every writer's voice is individual and unique; I've come to respect this truth during my own personal journey. As long as a story takes me to another place and is well edited, I'm going to give it a good rating. And if, for some reason, a book doesn't entertain me or I don't finish it, I won't leave a rating or review at all. If you're considering a book I've reviewed/rated, be sure to read other reviews/ratings alongside mine to help you decide if it's a read you might enjoy personally.Happy book hunting!"" ...more","Science Fiction & Fantasy, Literature & Fiction, Young Adult",https://www.goodreads.com/author/show/5186274.A_G_Howard,https://images.gr-assets.com/authors/1566101905p5/5186274.jpg,,,3.98,21277,151973,
A.G. Lafley,,,https://www.goodreads.com/author/show/1254177.A_G_Lafley,https://images.gr-assets.com/authors/1532147674p5/1254177.jpg,13/06/1974 0:00,,3.95,532,9890,
