url,title,titleComplete,description,imageUrl,genres,asin,isbn,isbn13,publisher,series,author,publishDate,characters,ratingHistogram,ratingsCount,reviewsCount,numPages,language,places
https://www.goodreads.com/book/show/29579.Foundation,Foundation,"Foundation (Foundation, #1)","The first novel in Isaac Asimov's classic science-fiction masterpiece, the Foundation series For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future--to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire--both scientists and scholars--and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579.jpg,"Space, Fiction, Audiobook, Science Fiction, Space Opera, Classics, Fantasy, Speculative Fiction, Novels, Science Fiction Fantasy",0553803719,0553803719,9780553803716.0,Bantam,"Greater Foundation Universe, Foundation (Publication Order), Foundation (Chronological Order)",Isaac Asimov,1086073200000.0,"Hari Seldon, Salvor Hardin, Hober Mallow","10178, 21850, 84337, 177130, 250872",544367.0,16830.0,244.0,English,
https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible,The Poisonwood Bible,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244.jpg,"Fiction, Religion, Literary Fiction, Historical, Literature, Classics, Adult Fiction, Novels, Africa, Historical Fiction",0060786507,0060786507,9780060786502.0,Harper Perennial Modern Classics,,Barbara Kingsolver,1117522800000.0,"Ruth May Price, Orleanna Price, Reverend & Mrs. Underdown, Adah Price, Nathan Price, Dr Bud Wharton, Rachel Rebeccah Price, Leah Price","24044, 39480, 114358, 232128, 338208",748218.0,27944.0,546.0,English,"Leopoldville, Kilanga, Bethlehem, Georgia, Sanderling Island, Georgia"
https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,A Room of One’s Own,A Room of One’s Own,"A Room of One's Own is an extended essay by Virginia Woolf. First published on the 24th of October, 1929, the essay was based on a series of lectures she delivered at Newnham College and Girton College, two women's colleges at Cambridge University in October 1928. While this extended essay in fact employs a fictional narrator and narrative to explore women both as writers and characters in fiction, the manuscript for the delivery of the series of lectures, titled Women and Fiction, and hence the essay, are considered nonfiction. The essay is seen as a feminist text, and is noted in its argument for both a literal and figural space for women writers within a literary tradition dominated by patriarchy.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883012i/18521.jpg,"20th Century, Writing, Womens, Feminism, Literature, Classics, British Literature, Essays, Nonfiction, Philosophy",0141183535,,,Penguin Books,,Virginia Woolf,946713600000.0,,"2160, 6524, 30383, 77757, 94644",211468.0,18050.0,112.0,English,
https://www.goodreads.com/book/show/7728.Antigone,Antigone,"Antigone (The Theban Plays, #3)","The curse placed on Oedipus lingers and haunts a younger generation in this new and brilliant translation of Sophocles' classic drama. The daughter of Oedipus and Jocasta, Antigone is an unconventional heroine who pits her beliefs against the King of Thebes in a bloody test of wills that leaves few unharmed. Emotions fly as she challenges the king for the right to bury her own brother. Determined but doomed, Antigone shows her inner strength throughout the play.Antigone raises issues of law and morality that are just as relevant today as they were more than two thousand years ago. Whether this is your first reading or your twentieth, Antigone will move you as few pieces of literature can.To make this quintessential Greek drama more accessible to the modern reader, this Prestwick House Literary Touchstone Edition includes a glossary of difficult terms, a list of vocabulary words, and convenient sidebar notes. By providing these, it is our intention that readers will more fully enjoy the beauty, wisdom, and intent of the play.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486701308i/7728.jpg,"Theatre, Fiction, Read For School, Mythology, Literature, School, Classics, High School, Plays, Tragedy",1580493882,1580493882,9781580493888.0,"Prestwick House, Inc.",The Theban Plays,Sophocles,1133337600000.0,"Antigone, Haemon, Tiresias, Creon, Ismene, Eurydice (wife of Creon)","3868, 14656, 47499, 52633, 36794",155450.0,6522.0,80.0,English,
https://www.goodreads.com/book/show/9067850-the-throne-of-fire,The Throne of Fire,"The Throne of Fire (The Kane Chronicles, #2)","Ever since the gods of Ancient Egypt were unleashed in the modern world, Carter Kane and his sister Sadie have been in trouble. As descendants of the House of Life, the Kanes have some powers at their command, but the devious gods haven't given them much time to master their skills at Brooklyn House, which has become a training ground for young magicians. And now their most threatening enemy yet - the chaos snake Apophis - is rising. If they don't prevent him from breaking free in a few days' time, the world will come to an end. In other words, it's a typical week for the Kane family. To have any chance of battling the Forces of Chaos, the Kanes must revive the sun god Ra. But that would be a feat more powerful than any magician has ever accomplished. First they have to search the world for the three sections of the Book of Ra, then they have to learn how to chant its spells. Oh, and did we mention that no one knows where Ra is exactly? Narrated in two different wisecracking voices, featuring a large cast of new and unforgettable characters, and with adventures spanning the globe, this second installment in the Kane Chronicles is nothing short of a thrill ride.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661018148i/9067850.jpg,"Fiction, Young Adult, Childrens, Middle Grade, Magic, Mythology, Adventure, Urban Fantasy, Fantasy, Young Adult Fantasy",,1423140567,9781423140566.0,Hyperion Books for Children,The Kane Chronicles,Rick Riordan,1304406000000.0,"Ra, Walt Stone, Sadie Kane, Taweret, Isis, Horus (God), Set, Bes, Anubis, Sobek, Nephthys, Apophis, Carter Kane, Nekhbet, Bast, Zia Rashid, Vladimir Menshikov, Khufu, Thoth, Babi, Khepri, Ptah, Osiris (Egyptian god), Khnum, Khonsu","1843, 6176, 34591, 75513, 92875",210998.0,7607.0,452.0,English,"Alexandria, Duat, St. Petersburg, Egypt, Russian Federation, London, England, Brooklyn, New York City, New York, England"
https://www.goodreads.com/book/show/89073278-black-fire,Black Fire,Black Fire,"Major Tommy Black is at the crossroads of a brilliant, clandestine career. Lost... without purpose or mission. His life in sealed records and whispered stories of his violent exploits. Devastated and blaming himself when a member of his covert task force commits suicide, but when the man’s daughter is kidnapped, Black, the man with “a talent for violence,” sacrifices all for the nearly impossible chance to save the girl... and maybe his soul.For fans of Robert Ludlum and Lee Child, BLACK FIRE is a “tour de force of explosive action” that takes the reader on an epic, breathtaking adventure from the exotic Indian Ocean island of Mauritius to the remote interior of South Africa and across Europe into the towering mountains of Central Asia, and introduces a riveting new hero to cheer along with Reacher and Bourne — Tommy Black.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674923770i/89073278.jpg,"Fiction, Thriller",B0BSSD7CVL,,9798985170047.0,Falling Up Publishing,,William Kely McClung,1677312000000.0,,"82, 211, 282, 2356, 2578",5509.0,42.0,517.0,English,"South Africa, Mauritius"
https://www.goodreads.com/book/show/27712.The_Neverending_Story,The Neverending Story,The Neverending Story,"This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. The story begins with a lonely boy named Bastian and the strange book that draws him into the beautiful but doomed world of Fantastica. Only a human can save this enchanted place by giving its ruler, the Childlike Empress, a new name. But the journey to her tower leads through lands of dragons, giants, monsters, and magic, and once Bastian begins his quest, he may never return. As he is drawn deeper into Fantastica, he must find the courage to face unspeakable foes and the mysteries of his own heart. Readers, too, can travel to the wondrous, unforgettable world of Fantastica if they will just turn the page...",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712.jpg,"Fiction, Young Adult, Childrens, Middle Grade, Science Fiction Fantasy, Adventure, Books About Books, Classics, Fantasy, German Literature",0525457585,0525457585,9780525457589.0,Dutton Children's Books,,"Ralph Manheim, Michael Ende",852105600000.0,"Karl Konrad Koreander, Xayide, Bastian Balthazar Bux, Gmork, Falkor, The Childlike Empress, Uyulala, Atreyu, Morla, The Old Man of Wandering Mountain, Grograman","2955, 7870, 33459, 64304, 94519",203107.0,9697.0,396.0,English,"Germany, Fantastica"
https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day,The Remains of the Day,The Remains of the Day,"Librarian's note: See alternate cover edition of ISBN 0571225381 here.In the summer of 1956, Stevens, a long-serving butler at Darlington Hall, decides to take a motoring trip through the West Country. The six-day excursion becomes a journey into the past of Stevens and England, a past that takes in fascism, two world wars, and an unrealised love between the butler and his housekeeper.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327128714i/28921.jpg,"20th Century, Fiction, Literary Fiction, Audiobook, Historical, Literature, Classics, British Literature, Novels, Historical Fiction",,,,Faber & Faber,,Kazuo Ishiguro,1104566400000.0,"Miss Kenton, Senator Lewis, Reginald Cardinal, William Stevens, M. Dupont, James Stevens, Mr. Farraday, Lord Darlington","3289, 11515, 50533, 116676, 126423",308436.0,24744.0,258.0,English,"United Kingdom, England"
https://www.goodreads.com/book/show/872333.Blue_Bloods,Blue Bloods,"Blue Bloods (Blue Bloods, #1)","When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. The Blue Bloods vowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322281515i/872333.jpg,"Fiction, Paranormal, Vampires, Supernatural, Young Adult, Paranormal Romance, Angels, Urban Fantasy, Romance, Fantasy",0786838922,0786838922,9780786838929.0,Hyperion,Blue Bloods,Melissa de la Cruz,1174978800000.0,"Charles Force, Cordelia Van Alen, Oliver Hazard-Perry, Schuyler Van Alen, Jack Force, Bliss Llewellyn, Aggie Carondolet, Mimi Force, Dylan Ward","6807, 14287, 36993, 40335, 43348",141770.0,5234.0,302.0,English,"Manhattan, New York City, New York"
https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,The Mists of Avalon,"The Mists of Avalon (Avalon, #1)","Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529610467i/40605251.jpg,"Fiction, Arthurian, Historical, Magic, Mythology, Science Fiction Fantasy, Classics, Fantasy, Romance, Historical Fiction",B000FC1JCQ,,,Ballantine Books,"Les Dames du lac, Avalon (Chronological Order), Avalon (Publication Order)",Marion Zimmer Bradley,1527836400000.0,"King Arthur, Morgaine, Gwenhwyfar, Igraine, Gorlois, Uriens, Viviane, Morgause, Kevin, the Bard, Lancelot du Lac, Uther, Accolon, Merlin (Arthurian wizard)","4740, 9873, 33546, 64947, 94038",207144.0,7620.0,1009.0,English,"Avalon, Camelot"
