Id,MSSubClass,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
1,60,4.174387269895637,9.041921720351219,2,1,1,1,1,1,3,3,4,7,5,5,5,2,2,15,196.0,2,3,3,706,0,150,856,2,1,2,6.752270376141742,854,0,7.444248649496705,1,0,2,1,3,1,2,8,1,0,5.0,2,548,1,0,61,0,0,0,0,0,2,2008,1,1,12.247694320220994,0,0,0
2,20,4.382026634673881,9.169518377455928,2,1,1,1,4,1,2,3,1,6,8,31,31,2,2,9,0.0,3,3,2,978,0,284,1262,2,1,2,7.140453043101158,0,0,7.140453043101158,0,1,2,0,3,1,3,6,1,1,31.0,2,460,1,298,0,0,0,0,0,0,5,2007,1,1,12.109010932687042,0,0,0
3,60,4.219507705176107,9.328123407632566,2,2,1,1,1,1,3,3,4,7,5,7,6,2,2,15,162.0,2,3,3,486,0,434,920,2,1,2,6.824373670043086,866,0,7.487733761436444,1,0,2,1,3,1,2,6,1,1,7.0,2,608,1,0,42,0,0,0,0,0,9,2008,1,1,12.31716669303576,0,0,0
4,70,4.0943445622221,9.164296433474776,2,2,1,1,2,1,3,3,4,7,5,91,36,2,2,16,0.0,3,3,1,216,0,540,756,2,2,2,6.8679744089702925,756,0,7.448333860897476,1,0,1,0,3,1,2,7,1,1,8.0,3,642,1,0,35,272,0,0,0,0,2,2006,1,2,11.84939770159144,0,0,0
5,60,4.430816798843313,9.565213693968287,2,2,1,1,4,1,3,3,4,8,5,8,8,2,2,15,350.0,2,3,3,655,0,490,1145,2,1,2,7.0431599159883405,1053,0,7.6953031349635665,1,0,2,1,4,1,2,9,1,1,8.0,3,836,1,192,84,0,0,0,0,0,12,2008,1,1,12.429216196844383,0,0,0
6,50,4.442651256490317,9.55499334068759,2,2,1,1,1,1,3,3,2,5,5,16,14,2,2,15,0.0,3,3,6,732,0,64,796,2,1,2,6.679599185844383,566,0,7.216709486709457,1,0,1,1,1,1,3,5,1,0,16.0,2,480,1,40,30,0,320,0,0,700,10,2009,1,1,11.870599909242044,0,0,0
7,20,4.31748811353631,9.218705288307811,2,1,1,1,1,1,3,3,1,8,5,3,2,2,2,15,186.0,2,3,3,1369,0,317,1686,2,1,2,7.434847875211999,0,0,7.434847875211999,1,0,2,0,3,1,2,7,1,1,3.0,2,636,1,255,57,0,0,0,0,0,8,2007,1,1,12.634603026569334,0,0,0
8,60,4.23410650459726,9.247828816387175,2,2,1,1,2,1,6,3,4,7,6,36,36,2,2,7,240.0,3,3,2,859,32,216,1107,2,1,2,7.009408932708637,983,0,7.644919344958857,1,0,2,1,3,1,3,7,1,2,36.0,2,484,1,235,204,228,0,0,0,350,11,2009,1,1,12.206072645530174,1,0,0
9,50,3.9318256327243257,8.719317375506371,2,1,1,1,1,1,1,3,2,7,5,77,58,2,2,4,0.0,3,3,1,0,0,952,952,2,2,2,6.92951677076365,752,0,7.480992162869525,0,0,2,0,2,2,3,8,2,2,77.0,2,468,1,90,0,205,0,0,0,0,4,2008,1,2,11.77452020265869,0,0,0
10,190,3.912023005428146,8.911934336161426,2,1,1,1,2,1,1,1,3,5,6,69,58,2,2,9,0.0,3,3,1,851,0,140,991,2,1,2,6.981934677156389,0,0,6.981934677156389,1,0,1,0,2,2,3,5,1,2,69.0,1,205,1,0,4,0,0,0,0,0,1,2008,1,1,11.678439903447801,0,0,0
11,20,4.248495242049359,9.323669057283185,2,1,1,1,1,1,3,3,1,5,5,43,43,4,2,7,0.0,3,3,2,906,0,134,1040,2,1,2,6.946975992135418,0,0,6.946975992135418,1,0,1,0,3,1,3,5,1,0,43.0,1,384,1,0,0,0,0,0,0,0,2,2008,1,1,11.771436160121729,0,0,0
12,60,4.442651256490317,9.386308454797962,2,2,1,1,1,1,3,3,4,9,5,1,0,4,2,17,286.0,1,3,3,998,0,177,1175,2,1,2,7.074963197966044,1142,0,7.751045117971802,1,0,3,0,4,1,1,11,1,2,1.0,3,736,1,147,21,0,0,0,0,0,7,2006,4,6,12.751299696013497,0,0,0
13,20,4.23410650459726,9.470240063415512,2,3,1,1,1,1,3,3,1,5,6,46,46,4,2,7,0.0,3,3,2,737,0,175,912,2,3,2,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,3,4,1,0,46.0,1,352,1,140,0,0,0,176,0,0,9,2008,1,1,11.877568578558138,1,0,0
14,20,4.51085950651685,9.273502946933823,2,2,1,1,1,1,3,3,1,7,5,1,0,2,2,15,306.0,2,3,3,0,0,1494,1494,2,1,2,7.309212365692763,0,0,7.309212365692763,0,0,2,0,3,1,2,7,1,1,1.0,3,840,1,160,33,0,0,0,0,0,8,2007,4,6,12.540757571577291,0,0,0
15,20,4.23410650459726,9.298351249298896,2,2,1,1,2,1,3,3,1,6,5,48,48,4,2,9,212.0,3,3,2,733,0,520,1253,2,3,2,7.133295954896068,0,0,7.133295954896068,1,0,1,1,2,1,3,5,1,1,48.0,1,352,1,0,213,176,0,0,0,0,5,2008,1,1,11.964001084330445,1,0,0
16,45,3.9318256327243257,8.719317375506371,2,1,1,1,2,1,3,3,3,7,8,78,6,2,2,16,0.0,3,3,1,0,0,832,832,2,1,2,6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,3,5,1,0,16.0,2,576,1,48,112,0,0,0,0,0,7,2007,1,1,11.790557201568507,0,0,0
17,20,4.23410650459726,9.327323087461798,2,2,1,1,3,1,3,3,1,6,7,40,40,2,2,16,180.0,3,3,2,578,0,426,1004,2,1,2,6.911747300251674,0,0,6.911747300251674,1,0,1,0,2,1,3,5,1,1,40.0,2,480,1,0,0,0,0,0,0,700,3,2010,1,1,11.911701584927597,1,0,0
18,90,4.276666119016055,9.286467732363734,2,1,1,1,1,1,3,3,1,4,5,39,39,2,2,9,0.0,3,3,4,0,0,0,0,2,3,2,7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,3,6,1,0,39.0,2,516,1,0,0,0,0,0,0,500,10,2006,1,1,11.407564949312402,0,0,0
19,20,4.189654742026425,9.524786081697178,2,1,1,1,1,1,9,3,1,5,5,4,4,2,2,15,0.0,3,3,3,646,0,468,1114,2,1,2,7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,2,6,1,0,4.0,2,576,1,0,102,0,0,0,0,0,6,2008,1,1,11.976659481202368,0,0,0
20,20,4.248495242049359,8.930626469173578,2,1,1,1,1,1,3,3,1,5,6,51,44,4,2,4,0.0,3,3,2,504,0,525,1029,2,3,2,7.199678345691172,0,0,7.199678345691172,0,0,1,0,3,1,3,6,2,0,51.0,1,294,1,0,0,0,0,0,0,0,5,2009,5,2,11.842229212112828,0,0,0
21,60,4.61512051684126,9.5620530240851,2,2,1,1,2,1,3,3,4,8,5,1,0,2,2,15,380.0,2,3,3,0,0,1158,1158,2,1,2,7.05444965813294,1218,0,7.773173680482536,0,0,3,1,4,1,2,9,1,1,1.0,3,853,1,240,154,0,0,0,0,0,11,2006,4,6,12.692503112461443,0,0,0
22,45,4.04305126783455,8.915835074176277,2,1,2,1,1,1,3,3,3,7,7,77,57,2,2,16,0.0,3,3,3,0,0,637,637,2,1,2,7.010311867307229,0,0,7.010311867307229,0,0,1,0,3,1,2,6,1,1,77.0,1,280,3,0,0,205,0,0,0,0,6,2007,1,1,11.845102777308561,0,0,0
23,20,4.31748811353631,9.184201714366488,2,1,1,1,1,1,3,3,1,8,5,6,6,4,2,15,281.0,2,3,3,0,0,1777,1777,2,1,2,7.492760300922379,0,0,7.492760300922379,0,0,2,0,3,1,2,7,1,1,6.0,2,534,1,171,159,0,0,0,0,0,9,2008,1,1,12.345834587905333,0,0,0
24,120,3.784189633918261,8.348537825386098,2,1,1,1,1,1,3,3,1,5,7,31,31,2,2,6,0.0,3,3,3,840,0,200,1040,2,3,2,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,3,6,1,1,31.0,2,572,1,100,110,0,0,0,0,0,6,2007,1,1,11.77452020265869,0,0,0
