rank,yrs.since.phd,salary
AssocProf,6,97000
AssocProf,12,119800
AssocProf,13,74830
AssocProf,9,100938
AssocProf,23,93418
AssocProf,12,103760
AssocProf,14,83900
AssocProf,9,90215
AssocProf,10,100135
AssocProf,9,90304
AssocProf,11,103613
AssocProf,9,100522
AssocProf,9,107008
AssocProf,10,105128
AssocProf,10,105631
AssocProf,17,95611
AssocProf,18,83850
AssocProf,11,82099
AssocProf,10,82600
AssocProf,15,81500
AssocProf,19,82100
AssocProf,25,62884
AssocProf,11,83001
AssocProf,10,77500
AssocProf,10,73877
AssocProf,14,100102
AssocProf,15,81500
AssocProf,12,103994
AssocProf,12,113341
AssocProf,6,95408
AssocProf,22,98510
AssocProf,8,101210
AssocProf,17,105000
AssocProf,10,95436
AssocProf,13,100944
AssocProf,8,100000
AssocProf,13,103750
AssocProf,28,106300
AssocProf,19,86250
AssocProf,48,90000
AssocProf,9,113600
AssocProf,11,118700
AssocProf,29,105350
AssocProf,14,109650
AssocProf,13,107150
AssocProf,9,70000
AssocProf,26,73300
AssocProf,12,83000
AssocProf,30,74000
AssocProf,41,88600
AssocProf,8,88650
AssocProf,49,81800
AssocProf,11,104800
AssocProf,45,70700
AssocProf,12,71065
AssocProf,9,95642
AssocProf,13,126431
AssocProf,10,99247
AssocProf,19,104542
AssocProf,20,81285
AssocProf,10,108413
AssocProf,13,78182
AssocProf,11,104121
AssocProf,8,86895
