Date,Hour,Water.lever,X
1/1/2008,1,937,NA
NA,4,933.5,NA
1/1/2008,7,930,NA
NA,10,926.5,NA
1/1/2008,13,923,NA
NA,16,921,NA
1/1/2008,19,919,927
NA,22,930.5,NA
1/2/2008,1,942,NA
NA,4,940,NA
1/2/2008,7,938,NA
NA,10,932.5,NA
1/2/2008,13,927,NA
NA,16,939,NA
1/2/2008,19,951,940
NA,22,962,NA
1/3/2008,1,973,NA
1/3/2008,4,971,NA
1/3/2008,7,968,NA
1/3/2008,10,957,NA
1/3/2008,13,948,NA
1/3/2008,16,937,NA
1/3/2008,19,923,NA
1/3/2008,22,938,952
1/4/2008,1,955,NA
1/4/2008,4,959,NA
1/4/2008,7,943,NA
1/4/2008,10,933,NA
1/4/2008,13,924,NA
1/4/2008,16,919,NA
1/4/2008,19,916,NA
1/4/2008,22,943,937
1/5/2008,1,970,NA
1/5/2008,4,971.5,NA
1/5/2008,7,957,NA
1/5/2008,10,947,NA
1/5/2008,13,930,NA
1/5/2008,16,920.5,NA
1/5/2008,19,920,NA
1/5/2008,22,943,NA
1/6/2008,1,966,NA
1/6/2008,4,971,NA
1/6/2008,7,954,NA
1/6/2008,10,937,NA
1/6/2008,13,922,NA
1/6/2008,16,919,NA
1/6/2008,19,916,NA
1/6/2008,22,920,938
1/7/2008,1,932,NA
1/7/2008,4,929.5,NA
1/7/2008,7,927,NA
1/7/2008,10,922.5,NA
1/7/2008,13,918,NA
1/7/2008,16,919.5,NA
1/7/2008,19,921,NA
1/7/2008,22,941.5,927
1/8/2008,1,964,NA
1/8/2008,4,973,NA
1/8/2008,7,958,NA
1/8/2008,10,939,NA
1/8/2008,13,923,NA
1/8/2008,16,918,NA
1/8/2008,19,920,NA
1/8/2008,22,924,940
1/9/2008,1,941,NA
1/9/2008,4,949,NA
1/9/2008,7,936,NA
1/9/2008,10,921,NA
1/9/2008,13,918,NA
1/9/2008,16,917,NA
1/9/2008,19,919,NA
1/9/2008,22,925,928
1/10/2008,1,943,NA
1/10/2008,4,951,NA
1/10/2008,7,938,NA
1/10/2008,10,922,NA
1/10/2008,13,921,NA
1/10/2008,16,918,NA
1/10/2008,19,920,NA
1/10/2008,22,924,930
1/11/2008,1,932,NA
1/11/2008,4,940,NA
1/11/2008,7,936,NA
1/11/2008,10,929,NA
1/11/2008,13,925,NA
1/11/2008,16,921,NA
1/11/2008,19,917,NA
