Year,1,2,3,4,5,6,7,8,9,10,11,12
1959,67.8,39.5,41.2,61.6,79.6,96.5,72,61.2,66.4,138.3,88.7,52.2
1960,64.3,70.7,32.4,59.2,81.2,113.6,67.7,58.6,60.5,80.6,62.8,80.9
1961,75.4,30.2,27.9,59.2,78.5,66.9,75.1,65.1,54.6,73.2,69.1,52.6
1962,86,63.5,50.1,59.2,66.3,59.3,70,61.9,92.1,102.9,85.3,98.9
1963,120.5,42.2,48.2,59.2,59.5,70.1,80.3,59.6,57.8,77.7,54.4,78.9
1964,39.1,36.7,40.4,59.2,72.9,61.7,86.9,63.5,287.9,58.5,114.1,86.5
1965,80.5,28.2,37.6,59.2,62.9,41.6,76.7,73.4,72.8,83,81.7,48.2
1966,43.5,38.5,33.3,59.2,84.7,49.1,69,59.7,95.7,65.7,72.3,42.5
1967,70.5,30,34.3,36.7,67.5,82.1,89.5,65.4,57.8,84.1,51.1,47.2
1968,46.3,21.2,24.1,37,56.7,57.5,77.8,54.7,69.8,86.2,61.9,53.5
1969,29.1,40.9,21.7,43.6,67.1,55.8,63.5,58,61.8,76.9,74.5,90.9
1970,48.7,30.2,14.4,33.5,54.6,51.1,68.2,55.8,46.2,95.2,67,37.3
1971,67,26.5,42.4,47.1,71.5,81.7,74,49.7,70.7,88.7,102.2,68.6
1972,54.2,29.5,52.1,35.8,57.2,74.2,62.9,32.9,63.3,57.4,56.4,55.8
1973,40.5,32.8,41.6,44.1,56.7,56.2,54.1,40,36.9,81.7,92.2,100.3
1974,53.9,50.7,35.6,38,61,72.2,65.7,53.3,43.7,57.5,64.5,40.8
1975,24.5,30,20.6,39,43,49.9,63,48.8,48.6,74.7,77.7,86.2
1976,67,26.1,24.6,27.7,57.6,62.1,62.4,55,58.7,52.8,78.8,55.9
1977,28.5,49.9,47.6,30.6,71.5,68.5,63.5,63.9,71.3,54,89.3,68.5
1978,48.2,29.1,18.5,34.1,44.8,45.3,57.1,47.3,56.9,86.1,60.5,73.9
1979,27.9,33.3,20.2,28,44.8,45.3,60.9,45.4,50.7,108.2,98.8,72.6
1980,45.6,27.1,23.9,39.5,59,41.4,51.8,49,62.1,59.8,77.9,60.8
1981,57.7,20.9,31.2,28.4,56.8,70,74.6,70.4,66.1,52.4,43.9,90.6
1982,61.7,23.8,22.8,46,62.7,66,66.5,52.2,44.2,51,53.7,76.3
1983,64.5,30.4,30,30.3,57.4,89.9,90.1,62.7,54.7,57.6,107,83.3
1984,59.3,19.7,23.7,26.3,61.4,59,82.1,50.9,60.5,64.7,84.4,60.5
1985,21.4,17.4,23.3,40.1,50.4,87.4,89.6,58.6,35.9,85.4,64,84.3
1986,79.2,30.6,48.6,39,55.6,63.9,71.1,51.4,71.4,77.6,91,57.4
1987,68.1,51.2,50.8,42.6,84.3,98.7,67,71.8,70.1,69.2,49.4,132.7
1988,50.1,15.7,22.1,41.3,65.7,92.1,76.5,50.1,101.1,75.1,122.2,88.8
1989,39,42.8,46.9,33.8,69.8,75.4,91.9,66.5,72,87,87.9,69.7
1990,33.3,23.2,32.6,44.8,65.8,69.1,67.2,86.4,75.6,61.8,72.4,79.7
1991,34.5,49.6,25.9,51.7,74.4,72.6,76.5,70.8,85.6,118.1,94.1,63.2
1992,58.7,34.3,33.8,37.7,61.7,69,76.2,75.2,39.2,101.6,97.8,64.1
1993,61,42.9,29,28.5,45.8,79.6,77.8,57.8,58.8,97.4,68.4,74
1994,51.3,23.1,26.9,32.5,55.8,58.6,42.9,48.7,47.6,79.1,74.6,39
1995,34.5,25.8,24.9,25.2,58.1,55.8,52.7,41.7,53.4,81.6,87.9,79.8
1996,32.9,52.3,32.6,29.7,50.4,55.1,69.7,51.8,53,77.3,71.1,68.7
1997,49.9,24.8,23.6,32.7,51.7,61.1,43.7,56.6,43.2,55.8,72,39.4
1998,34.8,25.8,20.7,44.2,60.7,59.3,74.9,55.2,64.3,109.3,104.4,85.2
1999,66,58.8,39.2,54.3,55.3,64.3,74.1,48.2,72.8,65.4,57.3,90
2000,47,36.8,34.8,45.8,58.4,68.4,71.8,61.9,76.8,71.3,120.2,95.7
2001,47.1,40.1,39.2,46.5,73.3,59.6,63.5,63.3,73.5,72.3,116.7,65.8
2002,69.2,30.6,49.6,57,64.1,69,77.4,68.3,77.3,82.2,58,40.4
2003,57.3,34.1,52.6,59.9,66.6,88.7,92.3,64.8,70.9,109.3,99.6,119.6
2004,55.7,45.4,50.6,52.2,68.7,98.9,57.2,51.4,55.6,102.9,74.5,79.9
2005,31.9,20.4,35.5,38.4,65.2,72.9,68.5,52.1,64.1,78.5,47.4,61.4
2006,49,25.3,24.3,47.8,70.1,65,70.7,42.8,76.1,70.4,77.3,80.3
2007,64.7,43.5,19.3,51,78.1,72.6,74,58.2,59.2,71.9,104.1,52.3
2008,41.1,45.2,52.8,42,64.1,49.4,70.7,50.9,52.3,68.3,71.3,72.4
2009,74.8,32.1,30.7,36.2,49,83,73,64,64,76,90.2,58
2010,28,32,44.1,31.5,61,82,91,45.9,57.1,98.7,95.3,64.8
2011,4.7,34.1,33.8,53.2,28.4,57.2,66.7,58.5,60,57.4,63.5,71.3
2012,13.1,19,26.4,51.7,61.5,84.5,336,74.7,72.5,82.6,52.4,41.3
2013,27.6,26.6,43.3,43.2,70.6,88.8,60.2,66.6,55.6,103.9,66.6,82.6
2014,70.5,27.4,10.6,35,75.6,76.1,67.4,55.1,76.5,94.6,45.9,72.4
2015,63.9,31.6,29.3,62.1,87.9,92.6,102.3,79.5,49.8,63.5,66.6,66.4
