V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,class
114,228,136.26,152,65.06,4017930.06,9,144,1.96,10,32,16.53,18,9.25,8598.07,27,144,1.96,1,2,1.03,1,0.23,1.28,4,144,1.96,1,1,0.85,1,0.36,0.85,8,144,1.96,16,42,19.99,23,11.4,15187.78,21,144,1.96,500,1500,710,790,380,6.60E+08,8,140,2,30,72,34.22,38,18.69,73918.92,22,144,1.96,690,1800,800,880,470,1.00E+09,10,140,2,Chae
13,580,210,180,200,3.50E+07,11,90,2,3,61,20.53,14,19.15,35061.93,11,90,1.96,1,2,1.01,1,0.73,2.61,8,90,1.96,1,2,0.84,1,0.39,0.91,5,90,1.96,2,80,28.59,25.5,26.5,90970.46,11,90,1.96,160,3500,1300,890,1200,8.40E+09,2,90,2,6,144,52.66,49.5,47.41,531843.92,14,90,1.96,69,3600,1300,1000,1200,8.90E+09,7,90,2,Chae
230,750,320,310,200,7.50E+07,9,160,2,14,63,21.33,20,13.83,24406.28,15,158,1.96,1,2,1.21,1,0.67,3.3,10,158,1.96,1,1,0.84,1,0.37,0.84,4,158,1.96,24.1,63,29.92,33,15.39,46161.68,17,158,1.96,780,3300,1200,1100,800,4.30E+09,11,160,2,49.1,110,57.44,62.5,28.23,317627.3,20,158,1.96,1200,3200,1500,1600,870,7.10E+09,13,160,2,Chae
180,1100,350,230,310,1.80E+08,9,160,2,15,55,23.91,19,15.84,34300.2,31,164,1.96,1,2,1.07,1,0.56,2.24,6,164,1.96,1,2,0.86,1,0.47,1.15,10,164,1.96,11.9,66,23.71,17.5,19.18,45751.32,19,164,1.96,760,4000,1500,940,1200,1.10E+10,13,160,2,25,133,47.88,33.5,39.46,394022.84,19,164,1.96,520,3600,1200,760,1100,7.00E+09,14,160,2,Chae
150,470,220,210,120,1.90E+07,9,130,2,9,44,15.03,12,10.09,8919.8,25,132,1.96,1,2,1.05,1,0.27,1.41,4,132,1.96,1,1,0.97,1,0.17,0.97,4,132,1.96,17,41,20.8,23,10.37,15132.98,21,132,1.96,570,1200,660,740,330,4.80E+08,8,130,2,28.3,80,34.12,34,17.04,70001.48,16,132,1.96,630,1800,760,800,410,8.30E+08,8,130,2,Chae
170,310,190,220,100,1.20E+07,10,130,2,14,34,17.08,19,9.18,9116.13,22,130,1.96,1,2,1.05,1,0.29,1.47,4,130,1.96,1,1,0.73,1,0.45,0.73,8,130,1.96,17,38,19.1,21,9.94,12213.73,21,130,1.96,620,1400,730,820,380,6.90E+08,10,130,2,32,83,36.37,37,18.76,86961.69,25,130,1.96,690,2000,800,800,490,1.10E+09,10,130,2,Chae
260,1200,500,530,320,2.90E+08,9,150,2,14,168,63.34,48,52.34,822606.88,14,146,1.96,1,2,0.75,1,0.45,0.79,11,146,1.96,1,1,0.97,1,0.18,0.97,4,146,1.96,6,56,15.42,9.5,14.35,17151.42,25,146,1.96,710,4200,2300,2100,1600,3.00E+10,11,150,2,17,97,32.47,20,25.67,115188.78,23,146,1.96,270,2100,610,340,570,1.00E+09,8,150,2,Chae
150,1100,410,330,360,2.50E+08,7,120,2,15.6,194,67.97,53.5,59.45,1117840.03,9,122,1.96,1,2,0.97,1,0.44,1.46,6,122,1.96,1,1,0.82,1,0.39,0.82,4,122,1.96,6,62,21.2,12,19,36618.6,21,122,1.96,690,4200,2400,2900,1800,3.50E+10,15,120,2,15.3,119,42.6,27,36.09,274627.83,12,122,1.96,280,2800,930,570,860,3.30E+09,5,120,2,Chae
120,900,210,170,190,4.40E+07,11,160,2,10,104,19.23,13.5,21.76,60843.65,24,156,1.96,1,2,1.06,1,0.4,1.71,4,156,1.96,1,1,0.85,1,0.36,0.85,4,156,1.96,12,70,18.62,15,14.72,24169.74,30,156,1.96,550,3200,820,630,710,2.50E+09,11,160,2,24,128,35.35,29,27.48,162686.62,24,156,1.96,510,3100,760,570,700,2.20E+09,8,160,2,Chae
110,920,290,160,280,1.20E+08,6,130,2,12,168,38.45,15,47.64,486681.28,18,130,1.96,1,2,0.93,1,0.57,1.72,4,130,1.96,0,1,0.57,1,0.5,0.57,6,130,1.96,11.7,81,24.28,15,22.99,68276.77,18,130,1.96,540,4200,1500,620,1500,1.70E+10,12,130,2,21,153,44.49,28,42.93,442609.98,15,130,1.96,550,3700,1100,720,1000,6.50E+09,8,130,2,Chae
150,740,230,220,160,3.60E+07,7,140,2,14.9,72,24.85,22,16.96,39921.02,18,144,1.96,1,2,0.99,1,0.43,1.49,8,144,1.96,1,1,0.84,1,0.37,0.84,4,144,1.96,12.9,47,22.71,25.5,14.32,25100.83,15,144,1.96,890,2600,1200,1300,650,3.40E+09,8,140,2,25.9,90,43.23,48.5,23.84,150871.27,13,144,1.96,620,2400,1000,1100,680,2.60E+09,7,140,2,Chae
180,490,240,250,130,2.50E+07,6,110,2,13,35,17.04,17,9.5,9667.44,17,110,1.96,1,1,0.86,1,0.34,0.86,4,110,1.96,1,1,0.76,1,0.43,0.76,2,110,1.96,16,45,20.41,21,11.72,16602.45,9,110,1.96,810,2000,1100,1100,550,2.20E+09,5,110,2,32,95,40.17,38,23.63,133772.1,15,110,1.96,680,2000,860,870,510,1.30E+09,6,110,2,Chae
22,1200,300,200,360,2.10E+08,4,72,2,9,81,25.35,21.5,22.71,67738.01,7,72,1.96,0.3,4,1.14,1,1.13,7.31,7,72,1.96,1,2,0.83,1,0.61,1.5,4,72,1.96,3.3,110,32,25,35,190000,7,72,2,270,4100,1500,1400,1400,1.40E+10,5,72,2,9.6,230,62,46,67,1400000,8,72,2,110,4000,1400,1100,1500,1.50E+10,5,72,2,Chae
77,790,300,210,270,1.00E+08,6,90,2,14,70,31.07,24.5,24.43,90184,7,90,1.96,1,3,1.43,1,1.03,7.9,6,90,1.96,1,2,1.22,1,0.56,2.96,6,90,1.96,13.7,107,41.13,21,39.08,290621.4,10,90,1.96,750,4200,1800,1100,1500,1.90E+10,6,90,2,25,204,73.07,43,67.77,1610338.67,9,90,1.96,570,4000,1700,860,1600,2.10E+10,5,90,2,Chae
