nam,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
1958,84.3,85.0,95.7,89.3,83.0,86.7,86.3,87.7,85.0,81.0,72.7,74.7
1959,78.3,88.3,91.0,89.0,87.7,85.0,86.0,89.0,86.7,71.3,79.3,87.3
1960,82.0,80.7,94.0,86.3,84.3,81.0,88.3,89.3,87.0,76.0,85.3,76.3
1961,76.3,88.7,92.7,90.3,86.3,84.7,83.3,86.7,88.7,81.7,81.0,84.7
1962,63.7,82.0,86.7,92.7,89.3,87.0,86.3,86.3,83.3,81.7,78.7,74.7
1963,65.7,89.0,89.7,91.7,89.0,84.7,87.0,88.3,89.0,85.3,87.0,78.0
1964,88.0,86.0,90.3,92.7,83.7,87.7,84.7,88.7,88.3,89.3,72.3,75.0
1965,78.7,91.0,90.0,92.0,86.3,90.7,85.3,86.0,82.3,84.3,78.3,85.3
1966,88.7,88.0,92.0,92.3,81.0,90.0,86.7,86.3,76.0,81.0,79.0,86.3
1967,72.7,88.0,91.0,91.3,86.7,83.0,82.7,87.0,87.7,77.3,87.0,84.3
1968,86.0,90.0,93.7,90.0,90.7,88.3,85.3,88.3,83.7,81.0,87.7,86.7
1969,91.3,84.7,94.7,90.0,88.0,90.0,87.3,91.3,85.7,73.3,76.0,72.0
1970,83.0,90.7,95.3,91.7,89.3,88.0,84.7,87.3,89.3,72.3,78.7,88.3
1971,76.0,87.7,87.3,89.3,81.3,83.7,84.3,90.3,82.3,75.3,66.7,78.3
1972,81.7,87.7,86.3,91.7,88.0,83.7,86.7,92.3,85.7,86.3,87.7,82.0
1973,85.0,90.7,91.3,91.3,91.0,88.0,88.3,89.3,91.7,79.7,70.3,69.0
1974,81.7,79.0,89.7,89.3,86.7,84.0,85.0,85.7,89.0,86.3,79.3,85.7
1975,90.3,89.3,93.7,89.3,90.0,89.0,84.7,87.3,87.7,81.7,74.7,69.0
1976,75.7,91.3,89.3,90.3,85.3,82.3,80.3,85.3,78.0,87.3,64.3,82.0
1977,87.7,77.3,83.3,90.7,84.3,83.0,85.3,86.7,81.7,82.7,68.3,86.7
1978,83.3,88.0,94.3,90.7,89.3,88.0,85.7,87.3,85.0,80.3,84.3,74.0
1979,86.3,84.7,92.7,91.3,89.0,88.0,86.0,91.7,87.7,68.7,63.3,77.7
1980,84.3,88.7,91.7,89.0,86.3,89.3,89.0,90.3,84.0,85.0,78.7,81.3
1981,81.0,92.3,91.3,91.7,85.7,84.7,85.7,87.7,85.3,91.3,83.7,69.3
1982,82.0,90.3,92.7,87.7,87.7,85.7,85.7,89.0,88.7,86.7,84.0,69.7
1983,83.0,91.0,89.0,90.7,90.3,82.3,82.0,86.3,87.0,88.0,68.3,73.0
1984,79.7,91.7,91.0,92.0,85.3,87.3,84.0,87.7,86.7,88.7,75.7,80.0
1985,90.7,93.7,87.7,90.7,88.0,85.3,88.0,90.7,85.7,81.0,85.0,80.3
1986,82.0,93.0,87.7,90.3,88.3,88.0,86.3,84.7,81.7,80.0,73.3,82.0
1987,79.7,84.3,88.7,88.7,87.0,82.7,86.3,87.3,84.0,90.0,83.3,59.7
1988,85.7,94.0,90.7,88.0,89.7,83.7,87.0,91.0,82.0,82.0,66.3,73.7
1989,87.0,85.7,84.7,92.0,89.0,88.7,85.0,87.7,85.3,80.3,78.7,80.3
1990,87.7,92.0,91.3,89.7,87.7,86.3,87.7,85.3,87.0,83.7,80.3,76.3
1991,91.0,84.3,92.7,88.3,88.0,87.3,88.3,85.3,83.7,81.0,76.0,80.7
1992,83.0,89.0,92.7,91.7,90.3,89.3,89.3,89.3,89.3,80.0,74.3,83.0
