Method,Hours,MAE,RMSE,R,SIM,FSD,NSE
SVR,6,12.24091162,13.01768483,0.957502765,0.743136665,1.948772295,-0.257070731
ARIMA,6,8.783378323,9.294371239,0.990451279,0.799017808,1.560199983,0.359185633
KNN,6,19.83333333,21.70975203,0.683538427,0.653089529,1.923394767,-2.496245621
RF,6,15.2625,16.59791426,0.897781342,0.704594794,1.675389447,-1.04361576
ARIMA_SVR,6,8.243965327,9.111431671,0.98808792,0.812037111,1.599617001,0.384163459
ARIMA_KNN,6,8.511349435,9.24881755,0.989333683,0.805966826,1.588023922,0.365451774
ARIMA_RF,6,8.237176528,9.163766467,0.976888405,0.813116895,1.592559717,0.377068582
SVR,12,15.09914764,15.69229199,0.994661576,0.850841512,1.982306294,0.670800576
ARIMA,12,13.43977774,15.00059448,0.993672301,0.867258019,1.089697426,0.699182396
KNN,12,26.50833333,28.13682344,0.975202399,0.76848107,1.978179188,-0.058367358
RF,12,22.08638889,23.71152802,0.989855946,0.799297253,1.153645921,0.248367778
ARIMA_SVR,12,13.17960681,14.91341619,0.994128844,0.870024721,1.102846332,0.702668733
ARIMA_KNN,12,13.25328578,14.86833396,0.994255505,0.869061925,1.0944059,0.704463639
ARIMA_RF,12,13.06596586,14.782834,0.993350008,0.870999297,1.098076429,0.707852815
SVR,24,13.55343724,15.07816033,0.967481153,0.897002925,1.987368698,0.808904201
ARIMA,24,27.07283134,33.29492417,0.905091052,0.82355817,1.182154007,0.068226217
KNN,24,20.94166667,24.98961451,0.915222759,0.854979047,1.986966815,0.475103666
RF,24,19.15965278,22.8687794,0.933430361,0.864855904,0.810855587,0.560417498
ARIMA_SVR,24,26.92318502,32.97475796,0.912848169,0.824138755,1.177786518,0.086060055
ARIMA_KNN,24,26.96551924,33.22494658,0.902386504,0.824345119,1.178914446,0.072138811
ARIMA_RF,24,26.81273027,33.05497089,0.90493477,0.825169396,1.179231661,0.081608227
SVR,48,16.89659402,18.06802185,0.973200633,0.881139407,1.986983495,0.719481074
ARIMA,48,30.94009003,39.52840859,0.752490722,0.818385054,1.361472017,-0.3426401
KNN,48,14.8625,19.30545044,0.922442778,0.899130637,1.986559598,0.679741377
RF,48,17.41940972,20.47620773,0.955206151,0.881083447,0.857569532,0.639720122
ARIMA_SVR,48,30.89058144,39.23817338,0.761515174,0.818140612,1.35661816,-0.322995959
ARIMA_KNN,48,30.8529349,39.43421014,0.752658866,0.818818629,1.357777445,-0.336248549
ARIMA_RF,48,30.79937174,39.31897994,0.75315503,0.818967691,1.357919382,-0.32845069
SVR,72,19.40091127,20.68596886,0.965974381,0.866008906,1.985595133,0.570461279
ARIMA,72,33.48762516,41.55047479,0.685486118,0.804693059,1.460494367,-0.733015983
KNN,72,13.37777778,17.16814719,0.925779011,0.907272016,1.986363535,0.704132377
RF,72,15.933125,18.92378622,0.951211727,0.890012829,0.912336105,0.640526688
ARIMA_SVR,72,33.39938807,41.25760104,0.699361414,0.804713486,1.455749469,-0.708671322
ARIMA_KNN,72,33.39360345,41.42893812,0.688535259,0.805105303,1.456741933,-0.722892539
ARIMA_RF,72,33.3467203,41.34569004,0.688659133,0.805277135,1.457271382,-0.715975471
SVR,120,28.39694727,33.24593566,0.792605235,0.82194142,1.981995374,-0.313699865
ARIMA,120,41.16535199,47.82039168,0.597164517,0.76609703,1.568207308,-1.71797397
KNN,120,11.485,14.75785102,0.924237414,0.918675741,1.98637067,0.741139802
RF,120,18.45095833,23.75397937,0.8538734,0.878418228,1.032052905,0.329356399
ARIMA_SVR,120,41.09479241,47.6214796,0.61109138,0.766128581,1.564228075,-1.695409811
ARIMA_KNN,120,41.02933165,47.68375127,0.598505209,0.766707371,1.56463177,-1.702463663
ARIMA_RF,120,41.02600946,47.64256128,0.600552664,0.766650904,1.565535312,-1.697796816
