Hero,Appeared With
"LITTLE, ABNER","PRINCESS ZANDA, BLACK PANTHER/T'CHAL, CARNIVORE/COUNT ANDR"
PRINCESS ZANDA,"BLACK PANTHER/T'CHAL, LITTLE, ABNER, CARNIVORE/COUNT ANDR"
BLACK PANTHER/T'CHAL,"PRINCESS ZANDA, NIGHT THRASHER/DUANE, KNIGHT ERRANT/MATSON, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, JOCASTA, MOON KNIGHT/MARC SPE, LITTLE, ABNER, PUNISHER II/FRANK CA, GALACTUS/GALAN, CERISE II [SHI'AR], ANDROMEDA/ANDROMEDA , DAZZLER II/ALLISON B, THUNDERSTRIKE/ERIC K, CARNIVORE/COUNT ANDR, DEATHLOK III/MICHAEL, INFINITY II, MOONDRAGON/HEATHER D, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN BRITAIN/BRIA, TIGRA/GREER NELSON, CAPTAIN AMERICA, SHADOWCAT/KATHERINE , MARVEL GIRL/JEAN GRE, BLACK WIDOW/NATASHA , ANT-MAN/DR. HENRY J., MEGGAN, ICEMAN/ROBERT BOBBY , UATU, VISION , PSYLOCKE/ELISABETH B, HERCULES [GREEK GOD], SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , JARVIS, EDWIN , THING/BENJAMIN J. GR, KISMET/J'RIDIA STARD, MASTER ORDER, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, ICON/DR. U'MBAYA A'K, THOMAS, COMMANDER DA, HAWK, IRON MAN IV/JAMES R., DEATH, GHOST RIDER III/DAN , LOCKHEED, STINGER II/, NIGHTCRAWLER/KURT WA, IN-BETWEENER, THOR/DR. DONALD BLAK"
"STEELE, SIMON/WOLFGA","ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , RAVEN, SABBATH II/EL, FORTUNE, DOMINIC, IRON MAN IV/JAMES R."
"FORTUNE, DOMINIC","ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , RAVEN, SABBATH II/EL, IRON MAN IV/JAMES R., STEELE, SIMON/WOLFGA"
"ERWIN, CLYTEMNESTRA","CABE, BETHANY, SCORPIO II, IRON MAN/TONY STARK , ARIES II/GROVER RAYM, GEMINI/JOSHUA LINK, FORTUNE, DOMINIC, BROTHERS GRIMM II/BA, ERWIN, MORLEY, VIRGO/ELAINE MCLAUGH, FURY, COL. NICHOLAS , CAPRICORN/WILLARD WE, PISCES/NOAH PERRICON, RAVEN, SABBATH II/EL, STANE, OBADIAH, STEELE, SIMON/WOLFGA, AQUARIUS II/, LIVING LASER/ARTHUR , SAGITTARIUS/HARLAN V, MORLEY, VIBRO/DR. FRANCIS VI, TAURUS/CORNELIUS VAN, LIBRA/GUSTAV BRANDT, LEO/DANIEL RADFORD, IRON MAN IV/JAMES R., CANCER/JACK KLEVENO"
IRON MAN/TONY STARK ,"RADIOACTIVE MAN/DR. , ZARRKO, ARTHUR, DR. OCTOPUS/OTTO OCT, CASE, COL. PRESTON, MOCKINGBIRD/DR. BARB, ANDROMEDA/ANDROMEDA , BROTHERS GRIMM II/BA, VULTURE/ADRIAN TOOME, VIRGO/ELAINE MCLAUGH, CARPENTER, LARRY, DAREDEVIL/MATT MURDO, PARKER, MAY, MOONDRAGON/HEATHER D, CAGE, LUKE/CARL LUCA, RODGERS, MARIANNE, HARDY, MORGAN MACNEI, HUMAN TORCH/JOHNNY S, KRISTOFF/KRISTOFF VE, LIVING LASER/ARTHUR , EGGHEAD/PROF. ELIHAS, UATU, MORLEY, IONELLO, JASON, PSYLOCKE/ELISABETH B, KLINE, MR., LIBRA/GUSTAV BRANDT, MASTER ORDER, GRASP, KLAW/ULYSSES KLAW, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, LEO/DANIEL RADFORD, GHOST RIDER III/DAN , STINGER II/, ZIMMER, ABE, CABE, BETHANY, SCORPIO II, COLLINS, DEMITRIUS, OBLIVION, ARIES II/GROVER RAYM, ARBOGAST, BAMBI, DIAMOND, CHUCKY, GALACTUS/GALAN, FORTUNE, DOMINIC, VOLLA, TERRAX II/TYROS, SPYMASTER/JAKE JORDA, THUNDERSTRIKE/ERIC K, CAPRICORN/WILLARD WE, SANDMAN/WILLIAM BAKE, KINCAID, DR. JANE FO, SILVER SURFER/NORRIN, RAVEN, SABBATH II/EL, STANE, OBADIAH, ANGEL/WARREN KENNETH, FAIRMONT, AMANDA MAN, COOPER, DR. VALERIE, SUPER-ADAPTOID/ALESS, FIREBRAND/GARY GILBE, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, BROMWELL, DR., GHOST RIDER II/JOHNN, ERWIN, CLYTEMNESTRA, GHOST, CHAIN, SAGITTARIUS/HARLAN V, SITWELL, JASPER, ICEMAN/ROBERT BOBBY , HOGAN, VIRGINIA PEPP, CLEMSON, MIKE, WONG, SLASHER, SCARLET WITCH/WANDA , KISMET/J'RIDIA STARD, DESTROYER III, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, NIGHT PHANTOM II, WHITE DRAGON, STARR, TRIXIE TRISH, MAJESTON ZELIA, DEMITRIUS, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, CARPENTER, RACHEL, MOON KNIGHT/MARC SPE, JOCASTA, PUNISHER II/FRANK CA, LOKI [ASGARDIAN], BRADLEY, HANK, DRAX/ARTHUR DOUGLAS, ERWIN, MORLEY, GREEN GOBLIN/NORMAN , FURY, COL. NICHOLAS , SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, INFINITY II, SONIC, LORD CHAOS, PISCES/NOAH PERRICON, HULK/DR. ROBERT BRUC, GUARDSMAN/KEVIN O'BR, STANKOWICZ, FABIAN, MCKEEVER, TINY, BYRD, SEN. HARRINGTO, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, PERRIKUS, ANT-MAN/DR. HENRY J., MANDARIN, LEEDS, NED, VISION , VIBRO/DR. FRANCIS VI, MOLECULE MAN/OWEN RE, TAURUS/CORNELIUS VAN, JAMESON, J. JONAH, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, KINCAID, DR. KEITH, SPIDER-WOMAN II/JULI, DR. DOOM/VICTOR VON , WOLVERINE/LOGAN , HAWK, KRAVEN THE HUNTER/SE, FAIRMONT, HANNAH, IN-BETWEENER, BLACK WIDOW/NATASHA , CANCER/JACK KLEVENO, CRANDAL, BEN, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, SIF, STORM/ORORO MUNROE S, GEMINI/JOSHUA LINK, DAZZLER II/ALLISON B, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, HELA [ASGARDIAN], WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, ADVA, SOUTHERN, CANDY, STEELE, SIMON/WOLFGA, CAPTAIN AMERICA, AQUARIUS II/, MARVEL GIRL/JEAN GRE, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, JARVIS, EDWIN , IRON MAN IV/JAMES R., SPIDER-MAN/PETER PAR, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
IRON MAN IV/JAMES R.,"ZIMMER, ABE, CABE, BETHANY, RADIOACTIVE MAN/DR. , SCORPIO II, JOSEPH, SHEVA, CARPENTER, RACHEL, IRON MAN/TONY STARK , KNIGHT ERRANT/MATSON, ARIES II/GROVER RAYM, GEMINI/JOSHUA LINK, FORTUNE, DOMINIC, CERISE II [SHI'AR], MANTONE, JORGE, BROTHERS GRIMM II/BA, SPYMASTER/JAKE JORDA, ERWIN, MORLEY, VIRGO/ELAINE MCLAUGH, CARPENTER, LARRY, FURY, COL. NICHOLAS , CAPRICORN/WILLARD WE, SONIC, PISCES/NOAH PERRICON, SEGAR, OWEN, RAVEN, SABBATH II/EL, STANE, OBADIAH, COOPER, DR. VALERIE, STEELE, SIMON/WOLFGA, CAPTAIN BRITAIN/BRIA, CAPTAIN AMERICA, AQUARIUS II/, SHADOWCAT/KATHERINE , LIVING LASER/ARTHUR , ERWIN, CLYTEMNESTRA, RHODES, MR., GHOST, CHAIN, SAGITTARIUS/HARLAN V, MANDARIN, LOCOMOTIVE BREATH/LA, MEGGAN, HOGAN, VIRGINIA PEPP, CLEMSON, MIKE, MORLEY, VIBRO/DR. FRANCIS VI, TAURUS/CORNELIUS VAN, LIBRA/GUSTAV BRANDT, SANCTION/AARON, GRASP, RAMIREZ, ALMA, SPIDER-WOMAN II/JULI, LACOSTE, RAE, GUNSHIP/CARY ROUNTRE, ICON/DR. U'MBAYA A'K, LEO/DANIEL RADFORD, THOMAS, COMMANDER DA, HAWK, LOCKHEED, HOGAN, HAROLD J. HAP, BLACK PANTHER/T'CHAL, NIGHTCRAWLER/KURT WA, CANCER/JACK KLEVENO"
"RAVEN, SABBATH II/EL","ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK , FORTUNE, DOMINIC, IRON MAN IV/JAMES R., STEELE, SIMON/WOLFGA"
CARNIVORE/COUNT ANDR,"PRINCESS ZANDA, LITTLE, ABNER, BLACK PANTHER/T'CHAL"
GHOST,"IRON MAN IV/JAMES R., ZIMMER, ABE, IRON MAN/TONY STARK "
"ZIMMER, ABE","IRON MAN IV/JAMES R., GHOST, IRON MAN/TONY STARK "
FU MANCHU,"TARR, BLACK JACK, SHANG-CHI, MAN-THING/THEODORE T, SMITH, SIR DENIS NAY"
"TARR, BLACK JACK","WU, LEIKO, SHANG-CHI, SMITH, SIR DENIS NAY, STARSHINE II/BRANDY , FU MANCHU, JACKSON, STEVE, MAN-THING/THEODORE T, RESTON, CLIVE, ROM, SPACEKNIGHT, DOCTOR DREDD"
"SMITH, SIR DENIS NAY","WU, LEIKO, SHANG-CHI, TARR, BLACK JACK, STARSHINE II/BRANDY , FU MANCHU, JACKSON, STEVE, MAN-THING/THEODORE T, RESTON, CLIVE, ROM, SPACEKNIGHT, DOCTOR DREDD"
SHANG-CHI,"WU, LEIKO, TARR, BLACK JACK, SMITH, SIR DENIS NAY, STARSHINE II/BRANDY , FU MANCHU, JACKSON, STEVE, MAN-THING/THEODORE T, RESTON, CLIVE, ROM, SPACEKNIGHT, DOCTOR DREDD"
STARSHINE II/BRANDY ,"TARR, BLACK JACK, SHANG-CHI, DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, JONES, TAMMY ANNE, ROGUE /, SUB-MARINER/NAMOR MA, SMITH, SIR DENIS NAY, CLARK, JOHN, KILLBURN, MACK, RESTON, CLIVE, VASHTI, CLARK, SARAH, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, ROM, SPACEKNIGHT, JONES, NELL, JONES, DANIEL DANNY, JONES, LORRAINE LORR, WU, LEIKO, JACKSON, STEVE, DOCTOR DREDD"
"ROM, SPACEKNIGHT","TARR, BLACK JACK, SHANG-CHI, DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, AVALANCHE/DOMINIC PE, BLOB/FRED J. DUKES, JONES, TAMMY ANNE, PYRO/ALLERDYCE JOHNN, ROGUE /, SUB-MARINER/NAMOR MA, SMITH, SIR DENIS NAY, CLARK, JOHN, KILLBURN, MACK, STARSHINE II/BRANDY , RESTON, CLIVE, VASHTI, SEAWEED MAN, CLARK, SARAH, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, JONES, NELL, JONES, DANIEL DANNY, JONES, LORRAINE LORR, WU, LEIKO, JACKSON, STEVE, DOCTOR DREDD"
MAN-THING/THEODORE T,"TARR, BLACK JACK, FU MANCHU, SHANG-CHI, SMITH, SIR DENIS NAY"
